SampleID,S362,S370,S371,S6,S379,S381,S396,S1274,S408,S411,S1234,S420,S423,S426,S438,S446,S454,S460,S473,S486,S488,S490,S497,S501,S502,S527,S528,S534,S541,S552,S555,S559,S48,S50,S580,S1304,S590,S593,S596,S1306,S617,S1310,S626,S1318,S651,S665,S670,S671,S679,S61,S1325,S685,S688,S691,S704,S706,S67,S714,S715,S717,S721,S723,S69,S727,S728,S729,S730,S71,S743,S747,S749,S73,S754,S757,S1339,S760,S1341,S769,S773,S777,S780,S782,S809,S817,S820,S821,S826,S843,S846,S1349,S861,S870,S871,S875,S85,S901,S916,S934,S940,S944,S952,S982,S1365,S993,S1005,S1006,S1018,S1029,S1036,S1046,S1059,S1065,S1385,S1089,S1090,S1099,S1105,S1109,S1128,S1389,S103,S1142,S1150,S1152,S1157,S1163,S1173,S1174,S1193,S1204,S1405,S1215,S1219,S1224,S114,S130,S131,S132,S1249,S1250,S167,S170,S186,S187,S192,S199,S1257,S258,S265,S281,S285,S308,S310,S316,S318,S325,S335,S342,S358
Lactobacillus,13436,13270,13593,13457,13390,11640,13529,10905,12933,13163,4449,13202,11568,13398,12194,13529,6744,11782,8146,13537,13458,13324,13506,13232,13114,13349,13543,13551,12072,12662,10804,13501,13436,13501,13450,13482,13572,12107,13426,13517,13218,13484,13594,13396,13364,9910,13587,5556,13489,10286,13343,11124,13355,13278,6438,9950,13281,9931,11280,12958,11280,13399,13422,13125,13609,13475,7590,13360,13534,13329,13512,10997,13575,12874,13433,13435,8290,11277,13439,13013,13434,13484,9240,6367,11493,10526,11758,13483,13050,12963,6149,13500,10945,5929,12914,8797,13548,9719,13454,13527,13328,13268,12687,13471,13548,13537,13493,11148,13274,13312,7698,13508,12525,13436,13147,13261,13456,11153,12418,10752,13325,13469,13451,8976,13533,13449,13426,13550,13354,13214,13256,9058,13171,8466,13364,13489,10554,13615,12647,10969,13507,10085,13121,10956,13390,12515,13404,13135,13119,13244,10771,12394,7730,10941,11795,13472,11795,13537,13131
Gardnerella,140,109,18,0,44,1802,20,2543,553,24,1727,200,949,24,1408,78,456,16,1963,10,23,38,24,23,86,20,18,25,912,28,2325,27,19,2,12,24,15,1098,18,47,28,44,24,38,32,15,14,294,10,2418,19,2247,50,53,262,52,208,3614,1500,139,1944,71,86,137,0,46,57,77,29,266,23,2001,20,401,23,19,4640,2248,64,410,18,74,4275,7136,1350,2960,1761,3,486,25,7003,13,2131,5772,5,4609,20,3647,83,20,20,81,898,14,12,18,34,1384,29,25,5665,57,1006,15,409,48,16,1327,881,2586,191,15,34,2228,19,36,60,22,19,244,23,4414,243,4123,3,29,19,7,772,1678,1,481,438,5,9,38,10,45,86,273,2348,954,1260,2080,77,13,152,8,17
Prevotella,10,5,2,15,7,7,0,19,18,132,1,8,538,4,3,12,2887,5,143,2,1,8,6,7,62,3,3,1,3,45,3,11,29,1,10,1,3,16,4,5,69,4,2,10,6,0,4,2646,11,276,39,28,21,3,2470,1486,5,3,377,165,93,16,3,115,5,18,2906,2,4,3,5,11,10,5,0,37,16,30,4,2,32,5,32,7,25,3,2,4,11,136,5,15,134,1087,81,79,4,162,7,3,28,8,4,0,5,12,1,470,20,41,1,0,3,2,22,2,23,314,5,14,26,3,37,49,0,1,9,2,6,11,2,54,8,433,2,7,1,1,5,334,1,3,5,563,2,4,6,33,38,20,0,16,1078,119,651,5,555,2,204
Streptococcus,2,3,7,0,4,6,6,18,2,165,2,1,5,8,3,0,7,1784,2,2,13,5,4,6,6,4,3,11,1,10,18,6,1,3,4,10,3,17,2,3,31,7,3,8,3,3545,3,53,3,5,10,1,5,6,4,4,3,5,2,9,13,8,2,31,0,2,270,3,10,1,6,5,2,3,6,2,4,5,5,7,4,4,2,0,13,6,9,3,0,192,251,7,3,7,5,3,5,2,2,11,5,11,1,8,1,5,1,3,5,3,7,0,6,3,5,11,2,121,6,3,4,11,7,222,10,2,8,5,4,0,9,2,1,8,0,0,1,2,0,4,4,0,4,4,6,20,4,7,3,4,0,0,55,4,6,2,0,7,5
Atopobium,7,15,9,2,5,7,6,68,8,27,2,7,160,2,12,6,70,11,31,4,9,12,3,12,7,11,10,13,8,17,24,11,2,1,7,9,7,17,6,11,13,12,4,4,7,6,6,20,10,97,14,8,7,6,78,58,42,15,12,6,51,10,3,21,2,5,35,1,9,9,11,3,9,5,13,5,24,14,12,4,11,4,11,14,14,3,14,4,5,18,8,11,62,80,3,11,13,8,9,2,12,2,15,9,6,14,7,8,15,6,10,7,6,0,3,3,23,43,16,5,3,3,9,11,7,6,4,11,5,2,2,7,8,11,2,1,1,4,2,33,1,2,2,3,1,1,0,1,5,0,280,6,302,6,49,1,6,1,3
Sneathia,2,34,0,0,0,0,0,2,3,0,1,2,0,0,1,1,41,0,3033,0,0,2,3,6,1,1,0,0,1,0,284,3,2,1,0,0,0,0,0,1,0,0,0,11,0,0,1,0,0,4,0,1,0,0,1,0,0,0,2,3,0,0,2,7,0,9,2,0,0,1,0,1,1,2,1,0,3,3,0,4,2,1,2,2,0,3,0,2,0,1,0,3,1,0,2,0,2,1,0,4,1,5,0,0,1,7,0,0,1,1,1,3,1,1,3,3,1,2,2,0,0,3,0,3,0,1,0,0,0,0,3,1,0,0,2,1,1,0,0,0,1,1,1,1,0,1,5,1,21,1,0,2,2,0,2,0,2,2,2
Escherichia_Shigella,3,4,3,0,11,8,3,9,9,15,1,3,11,28,0,0,49,1,19,1,5,109,14,11,16,13,4,3,293,7,1,1,0,2,5,2,5,21,62,12,5,1,2,3,12,8,5,0,4,0,5,0,12,2,22,3,0,0,0,2,6,4,0,3,1,2,8,1,2,0,0,1,7,8,6,4,22,1,1,1,16,5,0,0,18,2,9,10,3,13,9,5,6,4,1,5,3,2,6,0,67,1,1,6,18,1,7,2,0,9,8,0,4,0,3,0,11,3,43,0,0,1,2,74,2,21,14,3,18,0,2,4,2,5,0,3,0,3,60,1,1,0,0,76,0,1,2,1,1,1,1,3,0,1,0,4,0,1,0
Bifidobacterium,0,0,0,0,0,1,0,1,3,1,0,2,1,4,0,0,19,0,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,3,0,1,1,0,1,0,0,1,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,4,0,0,0,10,0,27,0,0,0,0,0,0,1,0,0,0,0,6,2,8,0,0,1,1,0,2,1,0,0,0,0,0,1,6,1,9,0,2,0,8,0,0,0,0,1,0,1,0,6,0,0,3,1,0,1,2,0,5,3,1,2,0,0,4,0,6,1,3,0,4,0,2,2,0,2,1,0
Ureaplasma,13,22,1,0,0,27,6,9,4,17,187,40,58,4,1,1,2,0,0,0,16,0,10,1,6,119,27,11,43,0,4,8,1,20,1,22,0,17,0,2,1,22,2,5,0,0,2,20,10,136,44,137,2,0,8,0,58,10,7,63,105,25,17,1,0,8,352,2,12,0,0,409,0,16,3,4,0,14,7,6,8,13,22,0,171,44,20,40,6,3,174,0,35,4,1,49,0,6,15,1,2,10,3,60,0,11,15,169,5,2,0,6,38,0,6,11,6,39,29,45,14,0,21,1,1,11,12,1,2,10,0,45,12,38,2,2,3,0,5,114,8,106,5,1012,152,348,6,98,34,5,9,85,1029,238,1,33,29,0,6
Aerococcus,4,1,2,0,3,7,2,0,24,3,0,12,24,4,0,3,2,0,2,2,2,10,11,2,8,1,1,1,0,0,0,4,0,0,8,3,5,0,5,0,5,7,5,4,12,4,11,1,5,6,6,2,1,8,1,1,6,5,1,4,0,3,0,0,0,2,1,2,2,2,6,0,2,7,5,9,0,2,5,5,6,8,4,2,5,4,4,0,4,0,2,1,15,17,0,26,0,5,6,4,1,5,4,1,1,0,1,7,7,1,4,3,5,0,12,4,0,4,7,8,1,5,1,6,1,2,10,4,6,4,4,2,4,1,1,0,0,10,1,11,6,0,6,0,2,10,5,8,12,9,88,4,0,41,7,2,1,9,2
