SampleID,S360,S2,S1269,S361,S1270,S365,S4,S369,S1271,S373,S376,S382,S384,S385,S10,S389,S1233,S1273,S13,S404,S406,S409,S410,S414,S415,S416,S417,S425,S427,S428,S17,S429,S18,S442,S1279,S443,S444,S19,S447,S20,S449,S21,S22,S453,S456,S457,S459,S1284,S461,S463,S465,S25,S469,S26,S27,S471,S477,S479,S480,S1286,S1287,S481,S483,S29,S484,S1288,S1289,S1290,S1291,S495,S504,S506,S507,S508,S510,S1294,S512,S34,S517,S529,S1297,S42,S533,S1298,S544,S43,S46,S546,S47,S548,S1237,S557,S561,S563,S1301,S567,S568,S569,S571,S572,S574,S577,S583,S586,S589,S1305,S591,S592,S595,S598,S599,S600,S601,S604,S608,S609,S616,S620,S624,S52,S628,S631,S632,S633,S635,S1315,S636,S641,S1317,S57,S58,S644,S649,S657,S60,S666,S683,S684,S1326,S1327,S690,S694,S696,S697,S1329,S699,S700,S65,S705,S707,S709,S713,S718,S722,S1333,S731,S1334,S737,S739,S742,S744,S755,S758,S761,S762,S75,S765,S767,S770,S772,S1342,S778,S1344,S77,S792,S1345,S796,S797,S798,S801,S808,S811,S814,S78,S815,S818,S822,S823,S825,S827,S830,S1347,S834,S835,S82,S836,S841,S842,S844,S847,S851,S852,S854,S855,S1350,S856,S857,S858,S862,S865,S869,S872,S873,S874,S876,S877,S878,S880,S1353,S881,S882,S886,S887,S888,S889,S893,S894,S895,S84,S897,S899,S906,S1355,S908,S909,S910,S914,S919,S921,S923,S925,S926,S928,S929,S930,S931,S935,S1358,S936,S937,S938,S941,S1359,S945,S86,S947,S949,S1360,S950,S1361,S91,S955,S956,S1363,S957,S960,S94,S962,S965,S966,S971,S974,S978,S979,S980,S981,S1364,S984,S987,S988,S990,S992,S995,S1368,S1002,S1003,S1008,S1014,S1016,S1022,S1023,S1024,S1370,S1025,S1027,S1028,S1031,S1032,S1035,S1037,S1038,S1042,S1043,S1048,S1049,S1052,S1379,S1054,S1380,S1057,S1061,S1381,S1063,S1064,S1068,S1070,S1072,S1077,S1079,S1083,S1085,S1087,S1088,S1101,S1104,S1107,S100,S1242,S1110,S1116,S1117,S1118,S1120,S1123,S1125,S101,S1126,S1127,S1388,S1130,S1132,S1133,S1134,S1135,S102,S1140,S1141,S1143,S1147,S1149,S1161,S1167,S1170,S1171,S1398,S1178,S1399,S1179,S1180,S1182,S1184,S1401,S1186,S1187,S1188,S1190,S1192,S106,S1196,S1198,S1203,S1207,S1208,S1209,S1211,S1408,S1213,S1220,S1411,S1228,S111,S112,S115,S1231,S119,S121,S1246,S122,S124,S125,S126,S127,S128,S1247,S133,S143,S145,S146,S150,S155,S159,S163,S164,S165,S166,S169,S176,S177,S179,S183,S184,S188,S191,S193,S198,S200,S201,S202,S203,S205,S210,S213,S214,S217,S218,S223,S224,S226,S227,S230,S232,S237,S243,S246,S261,S1263,S272,S274,S275,S276,S278,S279,S283,S287,S292,S293,S294,S296,S297,S298,S301,S302,S309,S1266,S1267,S313,S320,S322,S328,S329,S331,S334,S336,S337,S349,S350,S351,S1268,S355,S356,S383
Lactobacillus,11478,167,13564,13578,13529,13570,13580,13591,12338,13178,13550,13614,13491,13583,13504,13488,13571,13536,13559,13603,13516,13480,13513,13317,13586,13348,13545,13602,13606,13465,13571,13554,12158,13620,13344,13588,13610,10639,13561,13474,13541,13546,13438,13545,13614,12740,13526,13278,13431,12513,12746,13454,13553,13110,13592,12337,13579,13592,13375,13530,13597,13582,13454,13474,13398,13419,13427,13058,13587,13553,11695,13230,13403,13214,13374,13536,13365,13514,11480,13560,13606,13238,13354,13141,13583,13457,13588,12939,12756,13566,13523,13418,13605,12224,13521,13510,13543,12941,13620,13607,12870,13551,13507,13123,12754,13172,13634,13585,13609,12983,13250,7665,13579,13544,13558,13455,13423,13541,13606,13388,13244,13366,13583,13605,13555,13495,13341,13385,13344,12952,12708,13643,13533,12757,13233,13582,12946,13104,13224,13391,13520,13591,13414,13511,13535,13590,13498,13490,13583,13602,13572,13419,12993,13439,11378,13412,13540,13290,13467,13501,13567,13578,13591,13322,13343,13396,13578,12325,13575,13555,13485,13492,13545,12019,13606,12020,11469,13480,13573,13585,13535,13597,13458,13468,13582,13469,13357,13572,13500,13441,13457,13532,13384,13274,13629,13248,13464,13577,13606,12008,13521,12085,13440,13427,13381,13434,12228,13605,13262,13537,13013,13391,13583,13584,13443,13066,13521,13445,13556,13390,13560,13080,13589,11972,13565,13302,13653,13545,11669,13609,13269,13304,10728,13581,12868,12704,13604,13602,13520,13606,13183,13599,13507,13598,13409,13422,13165,13588,13576,13367,12210,13599,12783,13622,10801,13574,13488,13574,13559,12647,13184,10183,13540,13543,11015,13425,10243,13066,13406,13540,13308,13417,13000,13507,12200,13528,12739,13489,12945,12441,13543,12271,13240,13618,13595,13480,13569,13557,13407,13596,13430,13388,13274,12602,13566,13482,13495,13459,13544,13552,13434,13506,13418,12338,13610,12241,13447,12855,13334,13521,13408,13509,13594,13356,13441,13182,13121,13595,12197,11601,13608,13605,13423,13619,13355,12683,13262,13602,13539,13426,13595,13483,12885,13559,13570,13507,13523,13369,13298,12946,13483,13570,13528,13556,13491,13614,13576,13580,12532,13431,13507,13430,13602,13463,13491,13581,13406,13565,13395,13081,13574,13560,13563,13588,12944,13603,13444,12309,13558,13421,13296,13271,13360,12707,12206,13214,11702,13507,13338,13562,13521,13107,13521,13321,11117,13479,11314,10845,13394,13579,7715,13587,13494,13122,10829,13239,11871,11645,12786,13554,12463,13304,12445,13431,13580,13510,13577,13606,13477,11673,13607,12229,13523,13367,12830,13577,13362,12480,12485,13163,13575,12101,13577,12918,12663,13605,13497,13533,13556,13632,13570,11050,13621,10599,13359,13396,13609,13448,12123,9900,13177,11877,13438,13367,11518,13123,13020,11711,13374,13559,13471,12767,12595,13567,13554,12448,13143,13606,13454,13290,11061,13498,12991,13529,12951,12978,12147,12420,13397,12264,13539
Gardnerella,1489,54,16,9,18,37,4,12,923,17,19,17,12,13,121,22,12,11,6,22,4,10,12,197,21,225,15,18,11,100,3,11,1416,8,145,14,11,3,8,44,19,5,4,15,14,751,16,214,106,1063,225,2,21,80,2,1166,21,19,174,78,11,21,145,8,15,162,35,276,9,27,1652,85,115,114,10,22,250,85,1921,22,13,12,23,30,11,16,44,547,374,8,6,156,15,24,11,13,10,652,8,10,37,14,14,468,33,362,0,11,18,13,330,103,14,13,16,55,42,25,29,4,103,107,28,12,21,19,15,156,27,45,145,4,19,714,214,41,54,380,311,162,20,10,12,16,36,24,73,5,10,14,15,17,387,19,2142,8,15,83,9,32,7,13,18,30,155,21,11,1129,15,22,81,26,21,72,12,1365,25,20,20,12,23,10,38,3,23,13,31,28,19,47,15,28,39,106,2,22,17,19,12,1594,25,1410,65,16,15,18,1356,10,155,15,23,154,21,17,15,496,24,17,28,15,45,56,19,1552,20,8,2,26,950,12,194,25,27,0,549,871,14,16,65,12,99,9,76,9,169,15,460,8,25,64,1366,12,839,5,4,17,138,12,28,975,440,2792,18,16,2573,109,1,465,21,26,204,138,20,12,1304,78,739,60,237,802,15,1300,30,15,17,115,23,51,22,19,87,19,116,765,11,16,54,23,54,9,73,81,11,1226,8,1277,24,20,155,21,14,17,15,155,53,185,254,24,15,1733,7,18,16,17,23,554,5,6,18,14,19,111,6,14,9,19,15,14,19,570,25,10,24,17,2,17,27,15,968,10,23,13,14,24,95,9,214,13,149,429,15,20,15,13,237,11,22,961,11,51,258,142,14,280,1044,321,1825,14,222,14,4,226,4,152,2247,52,834,2562,1,3,1007,35,15,4,6,327,1193,1455,5,68,1089,16,499,44,16,4,4,1,5,1506,3,1196,3,8,3,3,133,1074,870,261,4,1314,6,610,757,6,5,6,68,0,5,1639,7,55,88,3,5,23,38,2714,5,1032,163,204,1977,1,5,7,31,4,2,209,926,14,2,1022,322,6,3,214,2184,6,5,3,2,3,1443,605,9,3,17
Prevotella,5,33,3,0,1,4,8,5,134,5,4,1,4,4,3,7,1,1,2,3,2,9,2,28,2,3,1,5,3,2,1,28,1,4,0,3,4,3,1,10,4,2,3,3,3,9,2,48,6,2,51,2,0,0,6,27,0,1,7,3,7,5,5,4,3,12,1,2,4,4,4,110,2,1,0,6,3,3,24,9,4,0,4,43,1,65,0,7,0,2,7,4,2,5,1,5,4,6,4,5,102,2,20,0,4,19,0,9,3,7,3,459,3,15,0,4,9,7,1,24,1,1,0,2,4,5,0,2,4,1,350,0,7,2,0,2,14,4,0,4,0,3,8,6,12,3,1,0,3,5,2,63,1,58,1,153,8,77,1,5,33,0,1,6,25,1,2,11,5,0,3,7,7,345,9,133,1398,1,4,1,4,1,4,56,3,3,2,18,1,31,5,6,9,58,1,6,4,3,0,0,3,5,7,16,4,139,7,0,7,2,224,10,5,3,2,27,0,9,9,23,1,11,4,5,3,19,0,1,0,0,0,6,9,0,46,1,0,2,2,2,4,3,10,5,6,7,3,1,5,7,0,3,3,1,2233,2,2,0,13,2,0,71,23,15,2,21,64,11,2,7,8,2,272,10,4,6,4,4,5,221,32,0,4,1,0,9,4,12,48,3,4,13,105,5,5,1,13,2,3,1,7,12,0,2,4,19,40,3,7,1,0,6,0,2,18,47,113,2,5,31,3,2,73,1,1,117,5,4,3,6,0,2,345,4,3,1,16,132,83,12,4,3,0,9,2,2,4,7,42,6,4,6,7,6,11,8,0,3,3,18,6,4,2,2,141,11,57,1,7,9,2,6,5,451,195,3,16,1,10,4,8,33,0,0,4,1,0,2,32,0,21,10,3,0,668,0,2,2,2,0,2,25,58,10,10,3,1,1,80,127,2,1,0,5,2,1,13,13,0,1,0,11,0,18,92,0,0,0,2,1,1,65,2,55,11,100,4,33,11,228,303,7,23,1,3,296,0,1268,62,3,10,196,26,7,3,57,8,3,16,4,4,18,430,1,380,185,10,0,34,1087,6
Streptococcus,503,3491,13,5,6,4,6,0,4,4,0,1,4,11,1,3,5,3,2,0,1,2,13,5,1,4,5,3,3,4,4,7,5,2,3,15,5,2,4,3,0,2,4,13,4,3,3,9,5,10,9,3,7,0,7,25,7,1,0,3,5,2,0,6,47,2,3,8,4,0,10,3,0,186,3,7,2,2,109,0,4,0,9,7,2,2,1,6,1,4,1,10,0,6,10,5,4,3,10,2,19,4,6,6,0,7,0,13,2,582,4,12,0,1,9,1,7,5,0,1,5,1,5,9,2,11,2,0,6,7,30,0,3,5,3,6,8,1,3,4,6,2,4,3,2,1,4,0,2,3,2,4,6,6,5,11,2,3,6,10,3,4,8,2,1,0,9,8,3,1,2,1,2,18,1,5,7,12,3,10,4,2,4,7,4,4,6,0,3,1,1,1,12,5,3,4,2,3,1,5,2,21,2,9,3,6,2,5,59,9,26,3,1,5,4,1,7,3,2,4,3,26,0,2,3,26,0,0,13,7,4,2,2,0,9,8,11,0,7,3,8,0,2,4,4,3,1,5,0,2,6,1,3,0,422,5,6,4,1,4,0,0,1,6,3,12,0,4,9,1,6,8,7,4,1,0,3,3,1,4,12,3,1,5,5,0,7,4,5,0,12,8,3,3,0,5,1,9,5,5,1,5,4,5,3,3,11,1,2,3,8,0,3,6,1,4,3,1,3,5,3,4,0,5,4,3,2,2,0,3,4,0,6,6,8,2,4,6,6,2,1,11,4,1,5,0,1,1,1,10,6,4,1,7,3,4,0,1,8,1,2,0,3,3,19,5,8,5,12,1,3,7,1,21,7,1,1,7,0,6,7,4,3,6,5,8,2,0,7,6,452,2,0,3,480,9,433,4,5,4,8,2,124,14,1,1,1,0,5,8,5,14,2,9,634,5,3,2,0,100,2,4,2,2,2,3,2,8,2,6,4,2,3,128,3,20,0,2,2,1,2,1,0,5,0,5,34,15,4,7,3,9,7,3,5,9,1,3,5,7,5,7,7,1,4,35,12,2,4,3,0
Atopobium,8,2,5,5,9,16,2,5,23,8,8,6,12,12,2,6,2,3,1,7,0,6,13,21,6,12,2,6,5,10,0,12,2,8,7,16,4,1378,4,2,6,0,1,12,11,6,9,34,9,10,8,2,7,1,1,1,7,6,6,8,12,7,2,1,6,11,4,10,11,7,97,4,5,9,6,6,9,2,9,4,10,3,10,2,6,2,2,64,1,12,4,12,7,2,8,1,8,14,8,6,9,3,12,13,4,6,0,14,4,9,7,14,3,3,6,4,7,9,3,0,11,5,6,10,7,15,4,4,3,2,3,0,5,2,1,14,4,1,8,11,78,12,13,13,4,7,11,5,11,3,3,15,4,5,4,14,2,7,5,13,11,9,1,4,7,2,12,12,4,6,7,8,4,16,5,12,9,11,7,10,5,9,5,1,4,9,222,8,6,5,3,6,7,7,0,13,6,12,6,8,6,4,11,4,5,4,2,6,4,3,3,6,3,9,10,4,7,14,6,11,5,4,6,4,3,4,0,5,0,7,3,6,8,0,25,4,10,4,6,11,18,3,6,12,5,5,5,8,4,4,9,3,7,0,0,5,6,6,7,13,1,115,4,2,3,17,4,2,1,9,14,14,3,13,7,2,6,2,4,6,2,35,8,7,5,3,6,11,4,6,14,2,5,2,3,7,5,33,12,9,7,5,3,18,8,8,12,5,6,3,7,3,9,1,9,57,3,6,12,11,11,9,6,8,3,30,1,0,6,5,5,3,10,3,9,0,8,19,3,3,6,12,9,2,4,7,9,2,5,12,3,9,4,1,6,3,0,9,11,6,4,7,7,4,10,8,9,1,10,6,12,9,3,12,10,4,4,3,7,4,0,8,3,4,1,1,1,3,0,2,5,1,3,1,70,0,2,3,1,1,3,1,1,3,1,3,0,2,6,30,3,1,2,2,2,0,5,1,3,1,4,71,1,4,0,1,2,1,2,0,1,15,2,2,3,3,2,1,1,162,1,197,2,2,4,9,0,2,4,0,1,11,2,2,2,5,2,1,1,4,253,2,3,2,2,2,0,1,0,1,6
Sneathia,0,2,0,2,1,0,0,2,0,1,0,0,2,0,0,0,3,1,1,0,1,2,0,26,0,2,2,1,0,0,1,1,0,3,0,0,0,0,2,2,1,3,0,0,1,0,0,0,0,0,533,1,0,1,0,2,0,0,7,0,2,0,0,1,0,0,1,0,2,0,0,1,3,5,1,0,2,1,0,2,2,1,0,2,1,0,0,4,1,1,1,0,4,3,1,1,4,0,0,1,1,1,0,0,2,3,0,0,2,0,0,5,2,2,0,2,1,1,0,3,1,0,0,0,1,3,0,1,0,0,0,0,2,48,0,2,3,1,0,1,0,3,6,0,0,0,0,2,2,0,0,0,0,0,1,0,1,27,0,0,0,0,2,0,52,1,0,1,0,1,0,0,1,1,0,0,0,0,6,0,0,1,0,0,0,1,1,1,0,1,5,2,0,0,0,1,1,2,0,0,0,2,31,3,1,1,3,1,16,2,1,4,0,0,1,2,0,1,0,1,0,0,1,0,0,1,0,2,0,0,2,0,2389,0,57,3,0,1,1,1,0,0,0,3,0,1,0,3,0,0,0,2,1,0,0,0,0,0,1,0,2,44,0,3,0,4,1,5,1,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,1,0,1,2,0,2,0,2,3,1,3,1,0,0,3,1,0,0,0,0,0,0,2,0,3,0,14,1,0,2,1,2,1,1,0,3,29,0,0,0,0,0,2,1,1,0,0,0,3,0,1,2,0,0,0,0,0,1,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,0,0,3,0,0,0,0,2,0,3,1,0,0,2,1,0,1,3,0,0,3,2,1,0,0,0,1,1,0,1,0,1,0,1,2,2,0,1,0,1,2,1,5,0,0,0,1,0,0,0,0,0,3,2,2,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,10,1,4,0,2,2,0,160,0,1,1,3,0,1,0,0,0,1,1,2,1,1,0,2,2,2,1
Escherichia_Shigella,14,3268,4,3,8,0,2,6,0,107,0,0,1,1,0,5,2,1,4,0,2,0,1,2,0,3,1,3,3,0,0,2,1,0,6,5,3,0,4,2,35,2,0,4,0,4,4,4,2,3,6,0,6,1,1,0,8,0,2,0,1,3,7,1,0,3,9,4,3,0,6,0,0,4,6,1,0,0,5,10,0,4,2,8,3,0,0,0,0,0,2,3,1,6,3,3,9,0,2,4,1,4,1,0,112,5,0,2,7,5,3,23,2,2,5,5,7,4,0,0,1,2,3,2,12,10,6,2,28,1,0,2,7,0,0,0,8,6,7,1,2,0,0,1,3,0,3,9,0,3,3,0,2,1,0,2,5,3,9,3,0,2,2,63,1,0,2,0,12,2,3,35,4,2,4,3,0,6,3,4,2,0,4,0,1,1,1,1,2,13,22,2,7,0,0,5,2,1,3,5,0,4,3,0,16,7,11,4,39,0,0,4,3,2,38,4,10,2,9,0,7,36,2,2,3,5,0,0,2,2,1,4,1,2,0,0,4,0,3,0,5,4,0,1,21,8,3,4,13,3,3,4,3,1,6,2,3,4,0,2,1,1,4,1,9,4,2,0,33,5,5,2,1,6,0,3,2,0,2,31,1,1,3,2,4,6,0,0,1,0,4,0,10,1,5,13,1,2,1,7,18,2,4,1,1,0,8,35,0,5,4,14,1,19,47,11,9,2,1,17,4,3,3,1,3,0,2,0,4,13,2,6,12,4,6,1,3,0,2,6,5,1,23,2,1,0,0,2,4,4,1,0,2,0,7,2,1,3,6,1,7,6,1,2,56,1,14,0,2,64,6,5,15,3,0,0,6,1,3,13,2,0,0,1,2,0,0,2,1,0,0,2,14,1,21,0,1,3,0,0,5,0,0,3,0,2,0,2,9,1,1,10,0,3,1,1,1,2,34,1,2,2,0,0,1,1,2,3,0,1,5,0,0,1,2,3,0,0,0,0,0,135,0,0,2,2,5,2,4,3,3,3,0,1,0,1,0,2,2,0,1,2,2,1,1,1,1,0,4,1,10
Bifidobacterium,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,5,0,1,0,1,0,2,0,1,0,8,0,0,0,0,0,0,1,0,0,5,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,6,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,8,3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,5,2,8,0,3,1,0,0,0,0,5,7,0,1,0,0,0,0,0,0,1,4,2,0,0,0,0,0,2,0,2,0,0,0,6,0,0,2,3,0,1,0,0,0,0,0,0,0,1,3,0,7,0,0,3,0,5,4,9,0,1,0,0,3,0,0,0,0,0,0,0,1,0,6,0,0,3,0,6,1,0,0,8,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,5,4,4,0,0,4,9,0,7,0,1,0,0,3,0,3,3,4,5,0,0,0,1,2,0,0,0,0,0,5,0,4,1,0,3,7,0,0,0,1,0,0,0,4,1,0,1,8,0,1,0,3,0,7,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,38,0,0,0,0,4,0,2,0,0,0,4,0,0,0,4,4,0,3,0,2,7,0,2,0,0,0,0,5,0,0,0,1,0,2,1,0,0,0,0,1,0,0,3,7,0,0,0,0,2,0,6,0,0,2,2,0,1,1,0,0,0,0,0,1,2,0,0,1,0,5,1,2,2,0,0,2,2,0,2,0,2,1,0,1,0,1,0,1,2,0,0,0,0,2,1,2,1,0,0,1,1,2,0,2,0,16,1,1,2,1,1,1,0,1,2,0,1,0,1,0,0,0,1,0,1,0,2,1,0,2,0,0,5,0,0,2,0,1
Ureaplasma,0,2,5,6,14,5,3,2,18,13,11,0,0,0,2,13,0,8,3,5,10,125,20,26,9,0,32,0,10,35,0,1,71,0,3,0,4,725,26,105,1,59,43,0,0,9,2,18,13,38,2,0,23,420,0,17,6,11,0,16,0,1,0,1,0,20,29,0,21,30,14,1,10,27,88,41,1,0,0,2,0,9,2,140,0,19,4,20,140,0,48,4,0,0,0,0,13,24,0,0,439,0,37,0,129,3,0,0,0,0,15,1,4,3,15,64,0,1,0,81,1,79,0,0,4,54,8,1,0,2,0,1,15,39,17,1,0,111,10,1,1,13,0,1,6,0,13,71,0,0,30,18,23,0,2,34,33,21,110,27,4,0,0,20,3,202,0,0,1,10,5,2,33,69,2,22,0,4,2,0,18,27,0,46,0,136,2,2,76,7,18,3,9,28,8,2,13,6,2,5,20,2,63,6,57,1,9,5,24,24,0,19,5,5,10,17,2,138,1,7,8,214,0,1,1,3,0,11,42,2,29,36,1,0,2,13,12,0,2,0,1,3,2,1,1,134,2,1,1,7,11,7,2,1,1,8,1,0,3,2,0,7,0,0,0,2,5,5,0,6,7,2,18,2,40,7,26,5,13,34,13,34,327,0,19,1,16,4,117,9,55,18,54,18,2,0,1,59,5,1,44,0,1,23,11,12,0,22,4,0,12,1,2,6,5,0,1,1,0,14,0,1,0,0,78,15,18,0,21,19,13,0,7,2,6,68,18,0,2,39,2,33,12,7,0,0,1,6,12,82,1,117,0,87,6,18,2,2,13,7,2,2,10,17,38,1,2,262,15,27,8,2,1,1,0,34,29,92,0,19,1,79,47,38,249,43,48,155,0,34,0,2,11,0,35,50,47,31,144,4,3,45,0,2,9,49,3,12,0,79,4,34,14,172,0,0,7,34,211,0,0,4,21,50,0,1,0,48,9,11,7,86,6,0,56,0,0,20,13,46,4,169,1,3,104,1,92,102,11,2,0,0,0,11,0,6,151,0,9,46,3,0,0,65,2,1,9,3,2,229,2
Aerococcus,2,1,4,3,1,0,0,8,1,1,2,1,0,0,0,7,5,7,1,0,0,1,1,9,2,0,3,0,2,4,0,0,0,1,1,0,1,49,4,1,4,2,1,1,0,7,5,6,4,1,3,0,0,0,0,4,0,1,3,2,2,8,8,7,4,5,8,5,0,2,0,2,3,6,3,3,2,0,1,7,0,0,0,5,1,0,0,1,1,4,0,0,1,87,3,3,0,1,0,1,0,1,3,6,1,4,0,0,1,3,6,1,7,7,3,3,1,4,1,0,3,2,2,1,5,0,3,2,5,5,0,0,3,3,0,0,3,7,1,1,1,0,1,2,8,2,5,0,0,6,5,5,4,7,3,0,8,6,3,0,0,5,3,8,2,1,0,4,2,1,3,0,10,9,5,14,692,1,3,0,5,1,5,0,5,0,4,2,5,6,7,6,0,2,5,3,0,3,5,1,0,7,6,4,5,3,6,4,6,5,5,2,7,3,4,7,1,4,4,3,2,4,1,4,7,6,0,1,5,2,2,1,1,0,8,2,1,1,3,0,1,9,3,2,7,1,3,1,4,0,5,7,4,0,0,9,1,2,1,2,0,34,3,1,3,2,3,5,3,1,4,0,6,8,3,6,14,4,10,5,2,2,1,2,2,6,2,1,1,2,0,3,3,6,6,59,7,1,3,5,2,5,3,6,1,4,0,3,6,1,2,8,4,3,5,6,6,6,0,20,0,0,3,1,3,16,1,3,0,1,2,6,0,6,1,1,3,0,6,6,5,0,1,7,1,1,1,7,7,1,2,3,9,3,1,8,0,1,3,5,10,1,5,1,2,5,6,6,1,5,4,3,8,2,5,40,7,0,0,4,3,0,0,3,0,2,3,0,0,6,0,0,0,0,2,1,0,5,0,1,13,0,1,1,0,3,0,1,1,101,0,6,0,7,7,0,6,1,32,1,0,1,0,2,2,1,11,8,2,0,0,158,2,6,8,0,1,1,0,0,0,41,0,9,1,0,2,4,0,7,0,8,3,0,44,7,1,0,1,7,66,1,4,0,17,5,0,0,7,4,0
