SampleID,S1232,S7,S8,S11,S398,S399,S1275,S407,S1277,S424,S433,S439,S445,S450,S1281,S1282,S458,S24,S470,S474,S476,S478,S482,S493,S496,S516,S520,S525,S531,S532,S535,S539,S1299,S556,S1300,S560,S566,S576,S603,S605,S606,S607,S1307,S622,S56,S653,S680,S689,S1328,S703,S712,S719,S68,S1332,S732,S733,S1335,S741,S1336,S750,S751,S1340,S781,S802,S79,S816,S1346,S831,S833,S885,S1354,S907,S911,S912,S915,S917,S918,S1356,S924,S87,S946,S951,S958,S93,S964,S972,S1241,S989,S991,S996,S96,S999,S1004,S1009,S1015,S99,S1019,S1373,S1030,S1375,S1041,S1376,S1044,S1050,S1053,S1377,S1055,S1056,S1066,S1069,S1071,S1384,S1080,S1093,S1094,S1095,S1096,S1098,S1387,S1115,S1122,S1139,S1390,S1392,S1145,S1146,S1148,S1164,S1165,S1166,S1168,S1396,S1181,S1400,S1189,S1244,S1195,S1199,S1202,S1205,S1206,S1214,S1218,S1227,S1229,S109,S1245,S123,S141,S151,S154,S157,S158,S161,S171,S206,S228,S1256,S233,S242,S244,S247,S250,S251,S253,S256,S1262,S284,S291,S295,S299,S1265,S304,S305,S312,S314,S315,S326,S341,S346,S357,S359
Lactobacillus,9007,13562,9022,13323,9147,9260,5549,10159,13498,6428,10111,10039,6694,11235,7939,13598,13570,13081,10497,13458,7575,13516,13571,13247,9668,9270,13448,13550,13571,8098,9545,13001,13380,9593,5655,13463,13514,10170,10014,12020,9128,12664,8801,6862,13527,3370,12986,12729,11240,13508,8845,13183,12839,13385,13597,13213,9379,10110,10535,13110,12692,1594,12944,10223,12248,9492,13016,13478,10267,8920,13534,10583,11922,41,6634,13499,13414,12365,11376,13115,13459,9062,10251,8038,13171,13503,13339,13538,10502,13471,12399,13498,10563,13341,13498,11056,13526,13490,13357,6613,9031,6261,10776,356,8143,13543,9815,11670,13193,12363,13340,8957,13549,13543,8873,13567,6760,9337,13487,13501,12393,7923,13317,13524,10643,13471,10750,7006,6316,10168,13524,13356,13510,13316,10093,8644,10769,13336,12826,7025,12972,7550,7983,11261,10863,10827,8168,13522,13357,5957,7691,12375,13420,9226,13196,13439,13598,13551,12967,12911,7597,13232,8162,8870,48,7940,13290,580,13562,10927,13547,13274,13286,11962,8173,8242,7291,10225,13401,10145,7495,11435
Gardnerella,4426,4,4387,8,3412,3899,30,3383,15,7013,2998,2329,6756,2088,5386,14,39,64,3087,26,5046,20,27,172,3522,4218,27,12,0,1343,3945,524,121,3911,59,40,13,3268,2724,540,4448,109,4440,6030,15,70,41,811,1449,51,4587,70,511,25,16,13,3894,3486,2977,32,906,112,12,3280,1376,4039,19,14,2242,4470,36,2957,1045,7,5360,16,11,1137,2098,145,91,3766,3268,5521,110,34,80,54,3073,19,30,17,2617,37,31,10,16,36,164,6309,4460,180,2591,16,5411,4,3407,1874,89,1182,29,4421,31,20,4355,20,6628,4125,58,22,1139,17,165,122,2824,18,2789,6610,4337,3218,19,15,13,22,3522,4907,2826,70,719,5997,42,5766,5181,2205,2718,16,4447,8,3,3441,2260,4,82,4190,330,14,38,10,285,106,5954,255,4992,3162,15,4806,161,81,4,2622,14,40,250,1515,4437,2862,5543,3322,199,3278,5280,2070
Prevotella,2,5,19,3,138,90,6511,7,15,2,244,209,8,107,19,2,5,62,4,18,2,31,3,38,1,2,8,6,2,2006,2,1,12,7,6,2,2,3,30,688,1,17,93,170,0,6301,9,4,23,2,43,164,1,4,1,3,235,2,3,3,2,12,4,4,3,20,10,9,12,4,4,1,3,0,296,9,4,4,18,1,19,55,15,1,3,10,30,2,8,10,2,1,77,9,7,0,0,6,0,48,2,2263,18,0,1,8,219,5,18,7,39,5,6,2,58,7,0,2,19,3,2,5389,8,2,5,4,1,1,1394,56,23,5,7,23,1,3,6,3,2,187,4,187,54,6,3,1,157,7,2,7,1751,3,13,7,1,5,2,0,60,230,8,6,1,18,26,166,27,56,5,3,1,39,2,5,27,919,413,8,0,1,1,10
Streptococcus,13,5,0,4,290,1,177,8,4,2,3,5,10,8,0,7,5,9,6,4,6,5,3,5,5,4,3,0,3,6,0,53,1,3,140,4,0,3,3,4,6,12,59,3,6,1,70,6,4,9,2,4,0,101,6,4,2,5,6,6,5,797,3,8,2,8,5,13,3,1,3,7,5,3,5,3,3,8,5,2,1,2,1,3,6,13,4,0,4,3,5,2,12,0,9,4,4,13,17,9,12,0,6,23,4,0,2,10,6,2,3,7,7,4,5,2,8,2,1,0,4,45,1,0,1,5,3,6,15,2,8,4,5,6,5,4,0,6,2,2,6,6,0,2,4,2,182,4,5,4,2,5,3,4,0,4,2,3,4,2,4,1,4,9,228,3,4,168,1,4,4,7,3,8,95,7,3,1,1,2,2,3
Atopobium,4,2,17,2,304,78,32,12,6,6,8,24,17,4,49,11,6,4,11,12,3,12,7,17,16,34,9,6,0,100,7,4,10,9,5,18,4,14,601,22,9,8,10,10,2,150,14,8,8,1,17,11,3,7,6,11,5,9,18,1,5,15,14,19,2,20,8,10,14,101,5,14,12,5,353,5,9,9,10,0,10,481,13,1,5,17,2,8,6,7,1,8,173,3,1,1,7,17,13,82,20,18,15,0,10,4,2,21,9,5,8,16,13,7,12,9,20,40,8,9,3,9,6,1,13,10,46,9,151,2,5,7,12,17,8,3,7,3,6,7,18,20,113,13,3,0,2,2,2,2,639,0,1,1,2,1,1,0,2,4,0,4,1,2,454,5,3,4,1,1,3,13,3,17,4,291,3,7,1,7,1,2
Sneathia,4,0,22,0,22,179,2,0,1,4,0,1,0,2,2,0,0,1,1,3,2,1,0,0,1,0,0,1,0,262,0,2,0,1,2,1,3,2,3,3,0,1,0,0,1,1,267,0,3,2,20,38,1,0,0,2,0,1,0,2,0,0,1,0,1,0,1,1,1094,1,3,0,3,0,462,2,4,1,0,0,0,3,4,1,0,1,0,0,1,1,1,1,5,1,3,2,0,2,0,182,0,5,0,0,1,1,4,0,0,2,0,0,0,1,0,0,2,1,1,0,0,2,1,1,2,0,0,1,270,3,0,0,2,0,0,1,1,0,0,9,1,3,1,0,1,2,0,1,1,0,172,1,0,2,2,1,0,0,2,18,1,2,2,3,1,1,1,21,3,0,3,1,2,1,118,1,0,2,0,0,0,0
Escherichia_Shigella,0,0,2,2,10,1,1,3,7,2,3,16,7,1,0,1,1,18,0,0,1,4,4,0,65,2,0,9,0,2,0,0,7,0,2065,5,10,0,2,18,3,118,23,394,1,168,3,4,4,0,7,7,0,6,4,2,2,4,1,5,0,60,22,3,0,11,4,4,0,5,1,3,0,11,5,2,4,3,2,0,13,6,5,3,50,6,0,0,5,6,1,10,4,2,1,6,1,6,4,5,3,0,9,175,8,8,5,6,1,6,11,2,0,7,6,5,4,9,3,0,1,2,1,0,5,1,5,4,18,2,3,4,0,2,3,2,0,7,2,4,11,0,0,10,0,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,3,0,1,1,11,2,1,2576,1,0,0,3,0,2,0,0,1,4,0,1,0,0
Bifidobacterium,3,0,1,2,0,0,0,1,0,21,1,2,0,7,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,8,0,12,0,0,3,0,11,5,0,0,0,0,2,392,0,0,0,4,0,1,3,0,0,0,2,0,0,5,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,1,0,0,0,3,0,1,3,6,2,0,0,0,0,0,0,0,0,0,26,8,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,0,8,13,0,0,0,3,0,6,0,1,0,13,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,3,0,0,1,0,1,0,1,3,0,4,2,1,2,0,2,0,0,0
Ureaplasma,107,0,24,17,11,15,0,37,17,1,84,15,51,0,2,2,1,51,20,1,59,4,1,10,2,15,1,1,0,7,21,14,1,1,630,19,41,11,46,47,6,3,89,84,0,10,156,9,37,3,7,1,60,26,0,1,50,9,37,0,1,4,0,67,2,1,409,0,1,45,5,1,128,0,25,2,38,24,14,37,0,4,17,54,10,15,45,28,23,14,4,0,20,5,18,3,5,13,1,2,1,1,11,0,3,5,0,0,4,41,3,183,15,18,0,8,13,3,5,1,71,0,87,1,14,17,11,12,7,1,13,65,2,0,0,34,13,130,9,88,526,32,47,16,12,18,623,4,0,0,22,8,9,79,12,2,7,40,100,90,1,37,95,3,0,39,19,2,0,37,32,28,8,1,1,4,166,40,16,58,36,4
Aerococcus,2,1,1,11,4,10,0,24,2,4,144,3,0,3,178,3,4,1,4,0,826,3,0,5,3,8,2,2,0,3,0,6,3,17,3,4,9,34,71,6,2,7,0,1,7,2,0,1,3,5,38,5,1,3,1,1,29,2,22,4,8,0,0,1,2,2,104,0,1,1,5,1,2,0,0,10,1,1,0,0,1,0,1,3,10,0,1,5,0,2,0,2,11,8,6,8,3,2,1,12,0,0,5,0,2,0,5,2,1,10,0,0,4,5,33,3,113,33,5,2,8,1,7,3,42,7,1,3,71,2,2,6,5,5,1,5,1,6,4,11,0,8,2,3,4,0,0,3,0,91,32,2,0,9,0,4,0,0,21,2,0,1,184,1468,0,3,1,8,0,1,0,10,12,8,647,121,7,2,1,0,540,0
