SampleID,S368,S375,S393,S1276,S419,S422,S432,S434,S435,S452,S23,S466,S472,S475,S487,S1292,S500,S1295,S518,S35,S36,S523,S1296,S40,S536,S44,S554,S564,S579,S581,S584,S587,S588,S612,S613,S614,S623,S627,S629,S54,S1312,S1313,S1314,S637,S639,S640,S643,S646,S647,S674,S675,S1322,S682,S64,S686,S693,S695,S724,S1331,S738,S748,S74,S763,S76,S771,S775,S783,S785,S1343,S787,S794,S799,S800,S804,S805,S806,S813,S829,S1348,S839,S845,S848,S849,S850,S859,S860,S863,S864,S868,S879,S1352,S884,S891,S896,S898,S900,S904,S922,S927,S1357,S1362,S953,S954,S959,S970,S983,S985,S986,S1366,S1367,S994,S998,S1001,S1369,S1011,S1020,S1026,S1033,S1040,S1047,S1051,S1062,S1382,S1067,S1073,S1074,S1076,S1078,S1084,S1091,S1386,S1097,S1100,S1106,S1108,S1111,S1113,S1121,S1124,S1137,S1138,S1391,S1393,S1151,S1154,S1155,S1158,S1169,S1395,S1172,S1397,S1175,S1176,S1177,S1183,S1194,S1201,S1210,S1212,S1216,S1409,S1410,S1223,S1225,S1226,S120,S129,S137,S138,S144,S153,S168,S181,S182,S189,S194,S195,S196,S197,S204,S215,S221,S222,S225,S234,S235,S240,S249,S252,S1260,S262,S1261,S264,S266,S268,S277,S1264,S311,S321,S323,S333,S339,S340,S343,S344,S348,S386,S522
Lactobacillus,186,103,24,800,2091,1081,6311,812,67,4027,430,59,73,1564,473,45,2162,38,3747,1533,10126,825,2802,5196,796,7858,752,74,85,726,5520,64,2099,3622,56,377,36,5623,2678,5870,5699,4728,79,5249,118,5017,177,34,137,59,4594,30,73,70,203,117,1529,1102,4446,41,159,33,127,3141,42,1638,673,55,1394,804,79,4205,1747,172,6277,971,501,1756,1550,299,864,1072,2621,1423,1166,991,9897,1798,5496,133,741,84,931,5034,49,5295,4275,697,33,2661,1780,2758,42,70,1276,182,80,1744,483,139,111,118,965,3156,870,60,95,1409,5469,30,305,60,82,44,51,57,1840,169,422,20,4832,213,4554,907,2659,518,40,57,2499,2511,4909,394,3577,78,5515,87,5504,4563,3358,5739,6018,4729,61,5687,47,29,2512,85,2796,41,49,300,200,2525,84,1641,2462,4780,202,22,900,3835,4779,1286,952,33,4343,15,3277,1489,1857,58,22,70,32,95,27,137,1004,419,30,17,6875,1946,23,86,3223,1438,31,12,158,18,36,27,20,15,4374,70
Gardnerella,6448,1612,13544,11878,9053,11150,7182,3946,8399,6442,4574,11521,4814,8524,10551,10349,9176,13362,8241,5475,3456,8765,10777,5292,9024,5435,9015,11321,4755,8644,7973,9990,9120,8243,5305,7778,12826,7634,10556,5425,7299,8378,5037,7834,10544,8133,12358,12389,3199,12072,5893,11497,13247,2798,13158,7570,8742,12356,8942,11365,7624,3059,5439,3974,8686,11220,8108,13011,1750,12261,6826,9116,11137,7734,7055,7418,9755,7261,11913,13277,12045,12434,9875,11938,2347,7969,3189,11763,6089,1244,6954,13036,10337,7351,11524,5438,9164,10517,13519,10032,11535,10499,13319,8518,11972,472,11378,9583,12813,11322,10604,4202,6044,10192,5678,12946,7431,11723,8070,13519,6227,6403,4698,11755,10794,13256,11412,8271,8272,13342,8705,11013,8967,4586,9919,8720,10699,9903,5992,10375,8251,12343,7196,6166,7746,7313,7923,8481,10197,6236,7320,8697,13140,7841,13302,13396,4824,7140,10649,12534,11439,11002,11450,6593,5533,4772,3140,8821,1522,12180,6299,6661,7980,8629,2000,8743,8880,13213,8055,9760,10234,3719,11333,6712,10048,1346,4526,11985,1012,3676,11939,10707,6449,9207,2847,2926,6841,4711,635,2651,5082,13054,5941,2709,7233,13317,8926,10567
Prevotella,2610,4578,2,13,1385,37,4,2893,2431,1294,5090,20,3784,1286,144,766,14,29,18,809,3,523,6,99,890,15,47,16,1646,1268,3,248,21,653,375,1804,6,5,147,490,463,165,5651,383,538,7,36,496,1657,3,146,3,6,4233,56,2287,194,4,148,3,5254,3246,3007,2160,296,20,2341,8,3054,285,3149,100,103,4188,32,360,1706,3046,1,14,20,6,9,22,3596,805,163,4,306,1755,555,22,2,4,108,34,11,541,42,11,83,13,78,2097,114,6,139,540,15,6,232,711,2045,5,5021,19,1322,165,12,6,3194,4873,2929,765,55,85,7,2282,1818,2,5,658,4,2932,568,3421,9,2030,2047,93,35,365,1103,962,10,7,1,35,7,3,56,5,7,15,8,3,661,2442,6,40,64,2,215,2567,11,2306,3841,4,2428,150,132,5,86,76,28,583,45,20,1111,82,3,5271,3,2889,476,2410,2380,2,165,1043,5,1014,1,39,3454,8722,137,2698,4053,2422,3403,4,2777,3509,3066,20,15,192
Streptococcus,5,1,2,1,2,1,0,2,0,0,5,0,1,1,2,0,0,0,8,4,2,0,5,4,3,18,2,1,1,1,6,4,21,10,1,1,2,8,6,12,9,3,2,1,2,4,0,6,3,0,3,0,5,2,0,2,14,134,25,1,13,3,3,11,2,1,62,0,584,0,3,5,1,6,7,3,37,54,1,2,1,2,8,0,0,0,2,4,11,658,2,6,62,7,1,2,0,2,4,1,3,2,77,0,0,8,11,4,4,0,1,3,2,1,2,1,0,9,3,1,1,2,1,0,2,31,3,1,2,0,3,2,3,9,7,2,4,0,0,1,4,58,0,1,90,3,2,5,3,0,3,2,1,3,157,1,1,0,1,8,14,0,0,2,0,6,3,1,1,0,4,5,2,1,23,287,0,2,5,3,361,97,6,1,12,0,1,2,118,23,4,153,6,0,3,21,1,0,3,0,0,1,9,0,2,8,1,29
Atopobium,453,871,13,4,12,2,10,750,262,1219,26,1977,385,629,1096,14,12,11,317,1589,2,2134,7,260,186,2,11,1777,207,252,16,555,2198,175,3972,1123,515,261,13,23,17,166,2387,10,1437,4,10,34,165,1359,521,1989,6,378,165,349,1002,21,14,2211,31,1296,511,2,4503,8,623,304,14,19,1018,23,364,663,11,4486,681,652,15,13,385,6,887,13,690,13,103,21,1373,71,3549,14,16,19,1633,302,7,824,14,801,13,9,14,499,16,14,1837,576,12,1175,1507,562,542,158,7,15,1528,14,25,8,593,442,317,703,2561,24,23,681,235,26,33,1210,23,427,18,544,2323,1063,1883,457,49,10,365,492,17,6180,6,411,13,1499,40,12,218,10,13,14,6,265,12,971,1771,2,1614,793,7,769,310,2,1218,829,5731,3064,4,3511,8,2575,4,4,64,894,3,171,2,1396,1105,135,2213,1123,1,1574,1448,8,86,1782,213,13,5,1035,418,302,463,5,2775,304,1387,2,131,2312
Sneathia,1946,4541,0,1,3,1,1,1184,917,0,1,1,2696,72,48,2,2243,43,6,1,2,3,0,0,2096,1,1174,5,3877,973,0,952,7,211,2843,987,4,24,2,1,0,6,4,1,1,0,1,0,217,3,1146,1,11,1495,26,1088,11,4,0,0,0,3374,1919,0,2,4,5,3,0,0,1144,1,1,70,0,0,5,4,1,2,4,0,0,3,658,2262,3,1,1,299,9,2,0,27,0,10,1,2,0,2,0,0,0,518,4,12,1,62,8,2,18,6362,737,3,0,3,281,1,0,1,2659,478,3924,0,9,8,4,844,912,54,0,0,4,3203,0,1,471,0,326,0,0,3,1,1923,0,4,0,88,1,0,4,3,5,2,3,4,5383,598,2,0,27,1,1,3,3112,656,1,2,5252,3,1,1,1,2,15,2,102,0,318,1,1,2801,3,1406,776,873,3554,2,4618,4165,4,0,1,2,5018,0,4,811,723,6427,2672,3,0,3558,861,0,1,4
Escherichia_Shigella,7,0,7,50,8,103,18,1,0,2,22,9,5,1,9,7,0,14,0,5,0,0,9,0,0,0,1,10,9,7,6,0,60,8,117,3,5,28,9,0,3,2,13,7,8,4,25,7,1,17,0,1,1,1,2,0,11,0,0,7,5,0,7,1,1,13,1,1,20,3,3,3,3,5,10,8,39,25,2,1,7,0,3,1,32,25,26,4,11,8012,12,33,0,843,9,1,2,31,7,5,5,6,20,0,0,7,8,2,15,2,9,0,19,5,4,7,5,11,1,4,0,21,0,1,0,0,1,0,3,2,6,9,0,7,2,0,10,0,0,9,1,122,2,19,26,14,1,6,5,2,0,5,1,7,0,10,4,0,0,8,15,55,8,27,8,1,2,0,3,1,1,2,3,0,1921,2,1,1,2,0,0,0,1,1,1,0,1,2,0,3,2,3,0,1,1,0,0,0,1,0,0,0,1,0,1,1,5,0
Bifidobacterium,0,0,41,0,17,0,0,0,0,5,0,0,0,0,0,1,0,19,24,4,0,0,6,0,23,1,22,1,14,0,0,0,0,0,0,0,1,0,0,569,1,23,12,0,0,5,0,0,30,0,19,0,33,0,0,24,0,0,0,1,11,0,16,0,0,19,0,0,0,6,0,0,0,0,0,1,14,12,0,0,33,10,5,0,154,0,7,1,36,0,0,0,0,1,0,18,6,5,0,0,0,1,0,0,0,44,2,30,22,0,0,19,6,0,1,0,0,3,4,0,2,16,19,0,0,0,0,25,4,0,0,0,0,12,0,10,1,0,1,9,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,8,1,12,2,0,3,3,4,1,5,0,3,1,0,0,0,8,4,3,1,4,6,1,0,0,1,29,0,4,6,3,0,4,2,2,0,0,1,1,1,1,1,0,0,0,0
Ureaplasma,0,1,0,5,11,2,63,1,1,1,21,0,1,0,0,0,0,9,2,3,0,28,0,6,6,0,0,167,12,0,71,21,4,1,13,0,76,6,0,89,79,1,1,1,3,221,813,0,1,0,0,7,17,7,0,0,0,3,0,0,0,4,0,305,6,237,0,4,0,9,0,74,0,0,47,174,239,12,42,0,0,0,141,101,2,53,20,21,93,0,1062,9,7,32,70,41,57,0,0,19,29,70,1,0,85,0,0,2,2,51,0,0,0,42,0,0,0,109,8,45,1,2,0,5,0,1,5,1,0,5,34,19,11,1,42,0,0,4,23,27,127,25,23,5,74,3,71,2,21,128,1,10,12,0,20,46,16,0,45,25,191,2,0,49,0,3,15,0,1,281,100,0,141,0,0,706,0,242,2,122,1115,1,605,200,143,2,153,0,12,2,2,0,145,0,0,1,0,3,9,0,0,459,208,0,33,210,12,0
Aerococcus,10,0,0,0,829,1,1,0,2,2,1012,0,3,2,81,0,0,1,167,337,0,0,1,95,0,0,0,139,3,9,0,191,11,59,3,504,27,20,1,525,0,3,0,0,425,13,0,0,0,1,124,0,0,8,2,16,95,0,2,0,0,17,3,2,0,108,276,1,0,0,1,0,39,8,184,0,0,4,78,0,1,3,4,0,3,0,31,0,1,1,508,342,1127,47,0,1934,1,26,0,24,0,237,18,110,37,1,0,13,0,906,169,4,6,2,107,0,0,0,3,1,19,150,2,1,0,0,0,1,8,8,24,194,0,10,97,105,48,306,39,1,4,1,3,120,1,1,5,6,11,1,2,3,0,1,15,0,98,4,25,0,1,0,0,1,108,82,957,0,4,0,286,1,318,76,1,1,2,0,30,1118,2,533,231,0,320,4,278,0,91,40,0,0,6,614,1,174,0,24,12,53,1,0,876,10,0,0,1,0
