SampleID,CST,subCST,score,Group
S1,IV-C,IV-C1,0.273806555,1
S1232,III,III-B,0.853814122,1
S2,III,III-A,0.021298474,1
S3,I,I-A,0.999498591,1
S4,III,III-A,0.992257562,1
S5,I,I-A,0.999527577,1
S6,I,I-B,0.955237429,1
S7,III,III-B,0.916475054,1
S8,III,III-B,0.855649095,1
S9,I,I-A,0.999034322,1
S10,III,III-A,0.992825913,1
S1233,III,III-A,0.992790443,1
S11,III,III-B,0.917069196,1
S12,I,I-A,0.99941929,1
S13,III,III-A,0.992043562,1
S14,I,I-A,0.9995936,1
S15,I,I-A,0.99949551,1
S1234,I,I-B,0.869466879,1
S16,I,I-A,0.999227236,1
S1235,I,I-A,0.998921947,1
S17,III,III-A,0.991952341,1
S18,III,III-A,0.987184383,1
S19,III,III-A,0.949322879,1
S20,III,III-A,0.993681391,1
S21,III,III-A,0.992498794,1
S22,III,III-A,0.992713556,1
S23,IV-B,IV-B,0.516594267,1
S24,III,III-B,0.713317771,1
S25,III,III-A,0.927576936,1
S26,III,III-A,0.995554584,1
S27,III,III-A,0.925748561,1
S28,I,I-A,0.999098853,1
S29,III,III-A,0.992530527,1
S30,I,I-A,0.999323086,1
S31,I,I-A,0.989954127,1
S32,I,I-A,0.999493062,1
S33,I,I-A,0.992983854,1
S34,III,III-A,0.993732426,1
S35,IV-B,IV-B,0.775784779,1
S36,IV-B,IV-B,0.185026842,1
S37,I,I-A,0.9990578,1
S38,I,I-A,0.99936039,1
S39,I,I-A,0.999367233,1
S40,IV-B,IV-B,0.627164649,1
S41,I,I-A,0.999195322,1
S42,III,III-A,0.991784657,1
S1236,I,I-A,0.991623768,1
S43,III,III-A,0.986618226,1
S44,IV-B,IV-B,0.369350459,1
S45,I,I-A,0.999272244,1
S46,III,III-A,0.992589674,1
S47,III,III-A,0.996338272,1
S1237,III,III-A,0.992218153,1
S48,I,I-B,0.941914857,1
S49,I,I-A,0.999309091,1
S50,I,I-B,0.961598762,1
S51,I,I-A,0.999282946,1
S1238,IV-C,IV-C3,0.955575408,1
S52,III,III-A,0.993201695,1
S53,I,I-A,0.999397643,1
S54,IV-B,IV-B,0.640068612,1
S55,I,I-A,0.996883746,1
S56,III,III-B,0.660679775,1
S57,III,III-A,0.995895879,1
S58,III,III-A,0.996298507,1
S59,I,I-A,0.999654542,1
S1239,I,I-A,0.999250353,1
S60,III,III-A,0.976221672,1
S61,I,I-B,0.936537177,1
S62,II,II,0.113273745,1
S63,IV-C,IV-C1,0.9198281,1
S64,IV-B,IV-B,0.46981198,1
S65,III,III-A,0.992426744,1
S66,I,I-A,0.99949443,1
S67,I,I-B,0.81276562,1
S68,III,III-B,0.945148153,1
S69,I,I-B,0.896411828,1
S70,I,I-A,0.998285774,1
S71,I,I-B,0.963070144,1
S72,IV-C,IV-C1,0.877938525,1
S73,I,I-B,0.947384024,1
S74,IV-B,IV-B,0.513993579,1
S75,III,III-A,0.99869604,1
S76,IV-B,IV-B,0.563096384,1
S77,III,III-A,0.997062955,1
S78,III,III-A,0.998503647,1
S79,III,III-B,0.909080719,1
S80,V,V,0.727655863,1
S81,I,I-A,0.961824068,1
S82,III,III-A,0.992036899,1
S83,I,I-A,0.999115528,1
S84,III,III-A,0.993747406,1
S85,I,I-B,0.778783695,1
S86,III,III-A,0.99071659,1
S87,III,III-B,0.86624643,1
S88,I,I-A,0.999436797,1
S89,I,I-A,0.999417433,1
