SampleID,Lactobacillus,Gardnerella,Prevotella,Streptococcus,Atopobium,Sneathia,Escherichia.Shigella,Bifidobacterium,Ureaplasma,Aerococcus,Megasphaera,Dialister,Anaerococcus,Veillonella,Fastidiosipila
S1,0.007857495,0.000599482,0.011839767,0.338129188,0.000171281,0,0.554584966,0,0,0,0,0.015115507,0.002376517,0.000449611,0
S1232,0.662296775,0.324765723,0,0.000590304,0.00073788,0.000172172,0,0.00024596,0.007329611,0,0,0.000885456,0,0,0
S2,0.013847177,0.003950577,0.002237317,0.253703666,0,0,0.239594461,0,0.000141092,0,0,0.00020156,0,0.000221716,0
S3,0.978929188,0.002797927,0,0,0,0.001105354,0,0,0.008946459,0,0.000172712,0,0,0,0
S4,0.995957941,0.000977491,0.000317024,0.00079256,0,0,0,0,0,0,0,0,0,0,0
S5,0.971228196,0.000575436,0.005394713,0.002445603,0,0,0,0,0,0,0.000863154,0.000827189,0.000647366,0,0
S6,0.990285367,0,0.000355924,0,0,0,0,0,0,0,0,0,0.000816532,0,0
S7,0.996055984,0.000349028,0,0,0,0.000279222,0,0,0,0.000139611,0,0.000209417,0.000383931,0,0
S8,0.667411486,0.318862554,0.001383236,0,0.001303434,0.001569441,0,0,0.001675844,0,0.001622643,0.001223632,0,0,0.002394063
S9,0.799667618,0.017702952,0,0.000794826,0.000252899,0,0.001119983,0,0.015535243,0.001372882,0,0,0,0,0
S10,0.987678147,0.010639351,0,0,0,0.000321655,0,0.000346397,0,0,0,0,0,0,0
S1233,0.991312391,0.003567535,0.000165164,0,0.000297295,0,0,0,0,0.001882866,0,0,0,0,0
S11,0.980195064,0.003715499,0.00016587,0.000530786,0,0,0,0,0.000995223,0.000763004,0.000398089,0,0,0,0
S12,0.744130108,0.002104688,0,0.001148011,0,0,0,0,0,0,0.000847342,0,0,0,0
S13,0.995413958,0.001591626,5.40E-05,0.000431628,0,0,0.000269767,0,0,0,0,0,0,0,0
S14,0.954229141,0.001578305,0.002833776,0.009828539,0,0,0,0,0,0,0,0.000538059,0.000825023,0,0
S15,0.994485426,0.001611402,0,0,0,0,0,0,0.002864714,0,0,0,0,0,0
S1234,0.337480412,0.127166532,0,0.000189943,0.000189943,9.50E-05,0,0,0.01272615,0,0,0,0,0,0
S16,0.990591977,0.002882035,0.000364395,0.002086991,0,0,0,0,0,0.000563156,0,0,0,0,0
