SampleID,subCST,Lactobacillus_iners,Lactobacillus_crispatus,Gardnerella_vaginalis,Lactobacillus_jensenii,Lactobacillus_hominis,Fannyhessea_vaginae,Prevotella_bivia,Streptococcus_anginosus,Sneathia_vaginalis,Prevotella_timonensis,others
S1112,I-A,0.000146359,0.996853275,0,0.000219539,0,0,0,0,0,0,0.002780827
S1309,I-A,0.001317234,0.994584705,7.32E-05,0.000146359,7.32E-05,0,0,0,0,0,0.003805302
S332,I-A,0.008049762,0.982070984,0.000365919,0.00439082,0.000731797,7.32E-05,7.32E-05,0.000146359,0,0,0.004097959
S1248,I-A,0.008196121,0.980168313,0,0.004829857,0.001244054,0,7.32E-05,0.000292719,0,7.32E-05,0.005122536
S174,I-A,0.009147457,0.954335895,0.027003313,0.00219541,0.001756312,7.32E-05,0,0,0,7.32E-05,0.005415213
S1259,I-A,0.013172338,0.905744603,0.001390413,0.073545554,7.32E-05,0.000219539,7.32E-05,0,0.000219539,0,0.005561614
S530,I-A,0.026930113,0.954262715,0,0.01053787,0.002414929,0,0,0,0,7.32E-05,0.005781173
S784,I-A,0.004756678,0.969410904,0.012513721,0.006732528,0.000512258,0,0,0,0,0,0.006073911
S505,I-A,0.000658617,0.958580315,0.000365898,0.033589462,0.000146359,0.000219539,7.32E-05,0,0.000219539,0,0.006147071
S319,I-A,0.046542261,0.939919502,0.001390413,0.003805362,0.001975851,0,0,0,7.32E-05,0,0.006293411
S238,I-A,0.056787433,0.928064398,0.000292739,0.00643983,0.001024515,0,0.000292719,0.000219539,0,7.32E-05,0.006805627
S66,I-A,0.010318332,0.970947677,0.000292718,0.003366264,0.007683864,0.000146359,0,0.000292719,0,0,0.006952067
S172,I-A,0,0.982510062,0,0.010098813,0.000365898,0,0,0,0,0,0.007025227
S943,I-A,0.009806074,0.98075375,0.000292759,0.000146359,0.001609952,0,7.32E-05,0,0,0,0.007317906
S135,I-A,0.009074277,0.977167947,0.000512257,0.003146725,0.00204903,7.32E-05,0,0.000365898,7.32E-05,7.32E-05,0.007464266
S117,I-A,0.0212221,0.964581046,0.000512258,0.002854007,0.002341749,0,0.000219539,0.000146359,7.32E-05,0,0.008049742
S267,I-A,0,0.983900476,0.00651301,0.000146359,0.000146359,0,0.001097695,7.32E-05,0,0,0.008122901
S280,I-A,0.096011709,0.888620563,0.002414929,0.002561308,0.001244054,0.000219539,7.32E-05,0.000292719,0,7.32E-05,0.008488779
S15,I-A,0.016245884,0.967654592,0.000219559,0.002854007,0.003585803,0.000292719,0.000219539,0.000146359,0.000146359,0,0.008635179
S152,I-A,0.021148921,0.963190633,0.000439078,0.003073566,0.002854007,7.32E-05,7.32E-05,0.000146359,0.000146359,0,0.008854677
S1254,I-A,0.007025247,0.977387486,0.000219559,0.003000366,0.003000366,7.32E-05,7.32E-05,0.000146359,0,0,0.009074217
S38,I-A,0.008415681,0.973143066,0.001170874,0.003366285,0.002927186,0.000512258,0.000585458,0.000146359,0.000512258,7.32E-05,0.009147375
S259,I-A,0.013465057,0.964068789,0.000292718,0.009586555,0.002707647,0.000219539,7.32E-05,0.000292719,0,0,0.009293776
S16,I-A,0.009074277,0.975338456,0.000365898,0.003293085,0.001756312,0,0.000219559,0.000365898,7.32E-05,0.000146359,0.009366956
S113,I-A,0.012147823,0.96816685,0.000292718,0.006586169,0.003073546,0,7.32E-05,0.000146359,0,0,0.009513335
S289,I-A,0.007757044,0.924551775,0.047786315,0.006586169,0.002780827,7.32E-05,7.32E-05,0.000292719,0.000292719,0,0.009806032
S173,I-A,0.009366996,0.976802049,0.000219559,0.001975851,0.001170874,0.000146359,0.000292719,7.32E-05,0,0,0.009952393
S140,I-A,0.024368825,0.959238932,0.000512278,0.003439444,0.00212221,0,7.32E-05,7.32E-05,0,0,0.010171911
S395,I-A,0.053128451,0.901792902,0.001024516,0.024515206,0.008635199,0.000365898,7.32E-05,7.32E-05,0,0.000146359,0.010245069
S162,I-A,0.063154043,0.919575558,0.000146359,0.004683498,0.001902671,0,7.32E-05,0.000146359,0,7.32E-05,0.010245112
S300,I-A,0.006878908,0.963629711,0.012440541,0.003439444,0.002780827,7.32E-05,0.000219559,0.000219539,0,0,0.010318271
S1239,I-A,0.010391511,0.973435785,0.000365939,0.003000366,0.001683132,7.32E-05,0.000219539,0.000365898,0,7.32E-05,0.01039143
S1319,I-A,0.05327479,0.898938895,0.001390413,0.026783754,0.008635199,0.000219539,0.000146359,7.32E-05,7.32E-05,0,0.010464651
S219,I-A,0.055031101,0.929015734,0.000292718,0.00219541,0.002414929,0.000219539,7.32E-05,0,0,0.000219539,0.01053783
S324,I-A,7.32E-05,0.962605196,0,0.024661564,0.000731797,0,0.000512258,0.000219539,0,0.000585437,0.010611009
S327,I-A,0.008269301,0.967800951,7.32E-05,0.012074663,0.000731797,7.32E-05,7.32E-05,0.000146359,0,0,0.010757329
S241,I-A,0.00856202,0.950237834,0.002780827,0.025686059,0.000878156,7.32E-05,0.000365898,0.000365898,0,0.000219539,0.010830569
S59,I-A,0.009440176,0.96392243,0.000365898,0.011928304,0.002561288,7.32E-05,0.000146359,0.000146359,0.000146359,0,0.011269627
S307,I-A,0.115111599,0.860739115,0.007464324,0.002488108,0.002780827,0.000146359,0,0,0,0,0.011269668
S867,I-A,0.000219539,0.981119649,0.005268936,0,0.000951336,0,0.000951336,0,0,0.000146359,0.011342845
S565,I-A,0.050567163,0.909549945,0.002561288,0.019026711,0.005927552,0.000292719,7.32E-05,0,0.000146359,0.0001464,0.011708663
S1159,I-A,0.047639976,0.913648006,0.001244075,0.019319429,0.006000732,0.000219539,0.000146359,0,7.32E-05,0,0.011708684
S1236,I-A,0.074057812,0.905598244,0.001390434,0.002707668,0.003658983,0.000512258,0,0.000292719,0,0,0.011781882
S51,I-A,0.008342481,0.974240761,0.000292718,0.00409806,0.000878156,0.000146359,0,0.000219539,0,0,0.011781926
S55,I-A,0.006805708,0.928503476,0.047420417,0.004317599,0.000731797,0.000146359,7.32E-05,7.32E-05,7.32E-05,0,0.011855044
S28,I-A,0.008854738,0.9744603,0.000292718,0.002268569,0.001536773,0.000292719,0,7.32E-05,0,0,0.012220983
S134,I-A,0.007757044,0.959897548,0.000512258,0.016465422,0.000658617,0.000146359,0.000219539,0.001829491,7.32E-05,7.32E-05,0.012367322
S1243,I-A,0.009220637,0.879034029,0.034760356,0.062202707,0.000878156,0.000146359,0.000439098,0.000512258,0,0.000439078,0.012367322
S526,I-A,0.0510794,0.898792536,0.008342481,0.022539354,0.00643981,0.000219539,0.000219539,0,0,0,0.012367341
S547,I-A,0.061105033,0.889864618,0.001390434,0.025612879,0.00856202,0.000512258,0.000292739,0,7.32E-05,7.32E-05,0.012513619
S367,I-A,0.05100622,0.907793633,0.002927186,0.018441274,0.006512989,0.000219539,7.32E-05,0.000146359,0.000146359,0,0.012733241
S92,I-A,0.008708379,0.964581046,0.000439078,0.011416046,0.001463593,7.32E-05,7.32E-05,0.000146359,7.32E-05,0.000146359,0.01287954
S148,I-A,0.09162095,0.867252104,0.020929422,0.004756698,0.00212221,0,0,0.000219539,7.32E-05,0,0.013025877
S397,I-A,0.06403224,0.88715697,0.000878156,0.015733626,0.018441273,0.000219539,0.000219559,7.32E-05,0.000219539,0,0.013025898
